Conselheiros,código do conselheiro,Quando entrou,Indicado por quem?,Quando saiu,Bio resumida,Links de referência,Onde trabalhava antes,Onde foi trabalhar depois,FOTO,Afinidade Partidária,Cargos Políticos,Parentes com relações 
Renato Navarro Guerreiro,1,05/11/1997,FHC,05/11/2000,Engenheiro eletricista com especialização em Telecomunicações pela Pontifícia Universidade Católica do Rio de Janeiro (PUC-RJ),http://www.anatel.gov.br/Portal/exibirPortalNivelDois.do?org.apache.struts.taglib.html.TOKEN=30a36cf988257c24465a9efc2cc75fd5&acao=carregaCombos&codItemCanal=1012&nomeVisao=&nomeCanal=&nomeItemCanal=&nomePastaSelecionada=Renato+Navarro+Guerreiro&nomePastaNivelDoisSelecionada=&pastaSelecionada=1444&conjuntoPalavrasPesquisa=&pastaSelecionadaCopia=&especieSelecionadaCopia=&especialidadeSelecionadaCopia=&palavraCopia=&numeroCopia=&mesCopia=&anoCopia=,"Foi secretário-executivo, secretário de serviços de comunicações e diretor do departamento de Tarifas da Secretaria de Serviços de Comunicações do Minicom. No Sistema Telebrás, foi Presidente do Conselho de Administração, da Telepará, da Telesp, da Telesc e da Telebrasília. Membro do Conselho de Administração da ECT, da Telebrás e da Telpe.","Fundou uma consultoria, a Guerreiro Consult, dedicada a prestar serviços às operadoras. Morreu em 2011. ",https://blogdogersonnogueira.files.wordpress.com/2011/02/foto-rg.jpg,,,
Luiz Francisco Tenório Perrone,2,05/11/1997,FHC,05/11/2001,"Natural de São Paulo, é graduado em Engenharia Eletrônica pelo Instituto Tecnológico de Aeronáutica de São José dos Campos (São Paulo), com cursos de extensão na França, Holanda e Estados Unidos. ",,"Passou por Telefunken do Brasil, Rhode und Schwarz (Alemanha) e foi diretor de serviços e presidente substituto da Embratel. Ocupou cargos diretivos na Intelsat, em Washington (EUA). A partir de 2005, foi vice-presidente de assuntos regulatórios da Brasil Telecom. Fez parte das diretorias da Abrasat e da Telebrasil.",,http://www.aeitaonline.com.br/wiki/images/d/d0/LuizPerrone.jpg,,,
José Leite Pereira Filho,3,05/11/1997,FHC,05/11/2002,"Engenheiro de telecomunicações pela PUC-RJ. Mestre e PhD em engenharia de telecomunicações pela Naval Postgraduate School, EUA.",http://www.teleco.com.br/colaborador/jose_leite_pereira.asp,Foi chefe do Departamento Técnico da Diretoria de Armamento e Comunicações da Marinha e  chefe da Divisão de Transmissão do COP na Embratel. Foi conselheiro do UIT na Suíça.,,http://memoria.ebc.com.br/agenciabrasil/sites/_agenciabrasil/files/gallery_assist/3/gallery_assist639905/425c253e39171.jpg,,,
Leonel Mário Leonel Neto,4,05/11/1997,FHC,18/12/1998,"Formado em engenharia de Produção, pela Universidade Federal do Rio de Janeiro
(UFRJ), e de Eletrônica, pela Universidade George Washington, em Washington
(EUA).",http://www.teletime.com.br/18/12/1998/mario-leonel-deixa-conselho-da-anatel-e-vai-para-intelsat/tt/23920/news.aspx,,Renunciou ao cargo de conselheiro em dezembro de 2008 para assumir a vice-presidência de desenvolvimento corporativo do Intelsat.,http://anatelsite.anatel.gov.br/Portal/documentos/biblioteca/releases/2001/anexo_release_04_12_2001(5).jpg?numeroPublicacao=32611&assuntoPublicacao=Foto%20M%E1rio%20Leonel&caminhoRel=null,,,
Luiz Tito Cerasoli,5,05/11/1997,FHC,05/11/2003,Formado em engenharia das telecomunicações,http://www.anatel.gov.br/Portal/exibirPortalPaginaEspecial.do?org.apache.struts.taglib.html.TOKEN=d7600b768146d623b5d5c04b9e74e022&acao=carregaPasta&codItemCanal=1012&pastaSelecionada=1441,"Trabalhou na Standard Eletric (1972 a 1978), na Telesp (1978 a 1983), na Vésper e na Embratel (1983 a 1995). Daí foi para o Ministério das Comunicações, onde  foi diretor de tarifas e preços.","Desde fevereiro de 2008, presidente na Cerasoli Telecomunicações Ldta. ",https://imgur.com/7P9hw3C,,,
Antônio Carlos Valente da Silva,6,05/11/1997,FHC,05/11/2004,"Nascido em 07/06/52 no Rio de Janeiro (RJ), é engenheiro eletricista  e pós-graduado em Administração pela PUC-RJ.",https://pt.wikipedia.org/wiki/Ant%C3%B4nio_Carlos_Valente,"Telesp, Vivo","Telesp, Vivo. Assessor Especial do Ministro das Comunicações (1997). Membro das comissões de avaliação da União Internacional de Telecomunicações (UIT). No Sistema Telebrás foi Gerente do Departamento de Planejamento Técnico da Telebrás e da Telerj, Chefe do Departamento de Planejamento e Chefe do Departamento de Transmissão e Rede Externa da  Cetel. Presidente do Conselho de Administração da Telest, Membro do Conselho de Administração da Telest e Presidente do Grupo de Telecomunicações do Plano Estratégico da Cidade do Rio de Janeiro. ",http://newsrondonia.com.br/imagensNoticias/image/antonio%20carlos%20valente(1).jpg,,,
Elifas Chaves Gurgel do Amaral,7,05/11/2004,Lula,05/11/2005,"Nascido em Fortaleza, é formado em engenharia da computação pelo IME-RJ e pós-graduado em redes de computadores pela Universidade Católica de Brasília (UCB).",http://www.anatel.gov.br/Portal/exibirPortalPaginaEspecial.do?org.apache.struts.taglib.html.TOKEN=48f6b47ef299976cf0ebec1b2f032f2f&acao=carregaPasta&codItemCanal=1012&pastaSelecionada=1443,"IMA - Informática de Munícipios Associados S.A
Telebrás
Sinttel (Sindicato dos Trabalhadores em Telecomunicações) 
Fittel (Federação dos Trabalhadores em Empresas de Telecomunicações)",,http://reciclavelxdescartavel.files.wordpress.com/2011/07/goleletrico_0607201111.jpg?w=450&h=337,,"ex-secretário de Telecomunicações do Ministério das Comunicações 
ex-presidente da Anatel",
Luiz Guilherme Schymura de Oliveira,8,02/05/2002,FHC,05/11/2005,"Carioca, é engenheiro eletricista/sistemas formado na PUC do Rio de Janeiro, em 1983. Dois anos depois, tornou-se mestre em Economia pela Escola de Pós-graduação em Economia da Fundação Getúlio Vargas. Concluiu, em 1989, o doutoramento em Economia, também pela Fundação Getúlio Vargas; em 1990, o de pós-doutoramento em Economia, nos Estados Unidos, pela The Wharton School of the University of Pennsylvania. De 1997 até ser indicado conselheiro e presidente da Anatel, ",,"foi diretor da FGV Consulting. Antes  ocupou, entre outros cargos, os de consultor da Kolynos do Brasil, consultor do Banco Mundial e editor da Revista de Econometria. Participou, também, como coordenador, de diversas pesquisas para a Agência Nacional de Petróleo, Furnas e para o Banco Interamericano de Desenvolvimento (BID. ",,http://epge.fgv.br/sites/default/files/2022_tn.jpeg?1319028213,,,
Renato Navarro Guerreiro (mandato 2),,05/11/2000,FHC,05/11/2005,,,,,,,,
Luis Alberto da Silva,9,06/12/2001,FHC (Pimenta da Veiga),05/11/2006,"Formado pela Faculdade de Direito da UFMG em 1962. Dois anos depois, finalizou seu mestrado na mesma faculdade",http://www.anatel.gov.br/Portal/exibirPortalPaginaEspecial.do?org.apache.struts.taglib.html.TOKEN=994514acc3c973523b34de368199f29e&acao=carregaPasta&codItemCanal=1012&pastaSelecionada=1442,,,http://www12.senado.gov.br/jornal/edicoes/2002/03/06/imagens/imagem3103,,,
