name	photo_link	place_of_birth	start_date	appointment	bio	ref_links	party
Renato Navarro Guerreiro	https://blogdogersonnogueira.files.wordpress.com/2011/02/foto-rg.jpg		{"1":{"start":"11/5/1997", "end":"11/05/2000"},"2":{"start":"11/5/2000", "end":"11/5/2005"}}	1	Engenheiro eletricista com especialização em Telecomunicações pela Pontifícia Universidade Católica do Rio de Janeiro (PUC-RJ)	http://www.anatel.gov.br/Portal/exibirPortalNivelDois.do?org.apache.struts.taglib.html.TOKEN=30a36cf988257c24465a9efc2cc75fd5&acao=carregaCombos&codItemCanal=1012&nomeVisao=&nomeCanal=&nomeItemCanal=&nomePastaSelecionada=Renato+Navarro+Guerreiro&nomePastaNivelDoisSelecionada=&pastaSelecionada=1444&conjuntoPalavrasPesquisa=&pastaSelecionadaCopia=&especieSelecionadaCopia=&especialidadeSelecionadaCopia=&palavraCopia=&numeroCopia=&mesCopia=&anoCopia=	
Luiz Francisco Tenório Perrone	http://www.aeitaonline.com.br/wiki/images/d/d0/LuizPerrone.jpg		{"1":{"start":"11/5/1997", "end":"11/05/2001"}}	1	Natural de São Paulo, é graduado em Engenharia Eletrônica pelo Instituto Tecnológico de Aeronáutica de São José dos Campos (São Paulo), com cursos de extensão na França, Holanda e Estados Unidos. 		
José Leite Pereira Filho	http://memoria.ebc.com.br/agenciabrasil/sites/_agenciabrasil/files/gallery_assist/3/gallery_assist639905/425c253e39171.jpg		{"1":{"start":"11/5/1997", "end":"11/05/2002"},"2":{"start':"08/27/2002", "end":"11/5/2007"}}	1	Engenheiro de telecomunicações pela PUC-RJ. Mestre e PhD em engenharia de telecomunicações pela Naval Postgraduate School, EUA.	http://www.teleco.com.br/colaborador/jose_leite_pereira.asp	
Leonel Mário Leonel Neto	http://anatelsite.anatel.gov.br/Portal/documentos/biblioteca/releases/2001/anexo_release_04_12_2001(5).jpg?numeroPublicacao=32611&assuntoPublicacao=Foto%20M%E1rio%20Leonel&caminhoRel=null		{"1":{"start":"11/5/1997", "end":"12/18/1998"}}	1	Formado em engenharia de Produção, pela Universidade Federal do Rio de Janeiro (UFRJ), e de Eletrônica, pela Universidade George Washington, em Washington (EUA).	http://www.teletime.com.br/18/12/1998/mario-leonel-deixa-conselho-da-anatel-e-vai-para-intelsat/tt/23920/news.aspx	
Luiz Tito Cerasoli	https://imgur.com/7P9hw3C		{"1":{"start":"11/5/1997", "end":"11/5/2003"}}	1	Formado em engenharia das telecomunicações	http://www.anatel.gov.br/Portal/exibirPortalPaginaEspecial.do?org.apache.struts.taglib.html.TOKEN=d7600b768146d623b5d5c04b9e74e022&acao=carregaPasta&codItemCanal=1012&pastaSelecionada=1441	
Antônio Carlos Valente da Silva	http://newsrondonia.com.br/imagensNoticias/image/antonio%20carlos%20valente(1).jpg		{"1":{"start":"11/5/1997", "end":"11/5/2004"}}	1	Nascido em 07/06/52 no Rio de Janeiro (RJ), é engenheiro eletricista  e pós-graduado em Administração pela PUC-RJ.	https://pt.wikipedia.org/wiki/Ant%C3%B4nio_Carlos_Valente	
Elifas Chaves Gurgel do Amaral	http://reciclavelxdescartavel.files.wordpress.com/2011/07/goleletrico_0607201111.jpg?w=450&h=337		{"1":{"start":"11/5/2004", "end":"11/5/2005"}}	2	Nascido em Fortaleza, é formado em engenharia da computação pelo IME-RJ e pós-graduado em redes de computadores pela Universidade Católica de Brasília (UCB).	http://www.anatel.gov.br/Portal/exibirPortalPaginaEspecial.do?org.apache.struts.taglib.html.TOKEN=48f6b47ef299976cf0ebec1b2f032f2f&acao=carregaPasta&codItemCanal=1012&pastaSelecionada=1443	
Luiz Guilherme Schymura de Oliveira	http://epge.fgv.br/sites/default/files/2022_tn.jpeg?1319028213		{"1":{"start":"05/2/2002", "end":"11/5/2005"}}	1	Carioca, é engenheiro eletricista/sistemas formado na PUC do Rio de Janeiro, em 1983. Dois anos depois, tornou-se mestre em Economia pela Escola de Pós-graduação em Economia da Fundação Getúlio Vargas. Concluiu, em 1989, o doutoramento em Economia, também pela Fundação Getúlio Vargas; em 1990, o de pós-doutoramento em Economia, nos Estados Unidos, pela The Wharton School of the University of Pennsylvania. De 1997 até ser indicado conselheiro e presidente da Anatel, 		
Luis Alberto da Silva	http://www12.senado.gov.br/jornal/edicoes/2002/03/06/imagens/imagem3103		{"1":{"start":"12/6/2001", "end":"11/5/2006"}}	1	Formado pela Faculdade de Direito da UFMG em 1962. Dois anos depois, finalizou seu mestrado na mesma faculdade	http://www.anatel.gov.br/Portal/exibirPortalPaginaEspecial.do?org.apache.struts.taglib.html.TOKEN=994514acc3c973523b34de368199f29e&acao=carregaPasta&codItemCanal=1012&pastaSelecionada=1442	
Pedro Jaime Ziller	http://memoria.ebc.com.br/agenciabrasil/sites/_agenciabrasil/files/gallery_assist/3/gallery_assist637888/prev/1357EF0196.jpg		{"1":{"start":"11/5/2003", "end":"11/5/2008"}}	2	Engenheiro eletricista formado em 1969 pela Universidade Federal de Minas Gerais (UFMG), com extensão universitária pela PUC-RJ e pela UFMG	http://www.anatel.gov.br/Portal/exibirPortalPaginaEspecial.do?org.apache.struts.taglib.html.TOKEN=d2994e932f8d82593407c8b27926bdd0&acao=carregaPasta&codItemCanal=1012&pastaSelecionada=2536	
